,handle,created_at,tweet_text,retweet_count,reply_count,like_count,quote_count,key_word_list
0,RepAdams,2022-12-07T14:56:09.000Z,"Today, the question of whether or not there should be checks and balances as part of the electoral process comes before #SCOTUS.

Our republic is based on the foundational concept of separation of powers. Independent State Legislature Theory is unconstitutional and un-American.",10,4,4,1,"['today', 'question', 'check', 'balance', 'part', 'electoral', 'process', 'come', 'scotus', 'republic', 'base', 'foundational', 'concept', 'separation', 'power', 'independent', 'state', 'legislature', 'theory', 'unconstitutional', 'un', 'american']"
1,RepAdams,2022-12-07T00:20:49.000Z,RT @CCLCharlotteNC: Thanks to @RepAdams staff Orlice Hodges and Avery Bonifati for meeting with @CCLCharlotteNC today to discuss #climateac…,3,0,0,0,"['thank', 'staff', 'orlice', 'hodges', 'avery', 'bonifati', 'meet', 'today', 'discuss', 'climateac']"
2,RepAdams,2022-12-06T17:27:13.000Z,"RT @RepBonnie: SCOTUS will soon hear arguments in Moore v. Harper, a case that threatens the future of free and fair elections. Justice Tho…",21,0,0,0,"['scotus', 'soon', 'hear', 'argument', 'moore', 'harper', 'case', 'threaten', 'future', 'free', 'fair', 'election', 'justice', 'tho']"
3,RepAdams,2022-12-06T15:53:19.000Z,RT @cspan: Congressional Gold Medal Ceremony for U.S. @CapitolPolice on January 6th – LIVE at 11am ET on C-SPAN https://t.co/DwIqWIGhUZ,44,0,0,0,"['congressional', 'gold', 'medal', 'ceremony', 'january', 'live', 'am', 'et', 'c', 'span']"
4,RepAdams,2022-12-06T15:36:17.000Z,Congratulations @StephenCurry30! You’re always welcome back home. https://t.co/SzRRxFC7i2,2,0,0,0,"['congratulation', 'always', 'welcome', 'back', 'home']"
5,RepAdams,2022-12-06T15:08:44.000Z,"RT @CRLONLINE: .@RepAdams Introduces Bill to Protect Essential Workers from Wage Garnishment

“Systematic racism continues to play a role i…",2,0,0,0,"['introduce', 'bill', 'protect', 'essential', 'workers', 'wage', 'garnishment', 'systematic', 'racism', 'continue', 'play', 'role']"
6,RepAdams,2022-12-05T21:21:06.000Z,RT @NCLC4consumers: .@RepAdams has introduced the Protecting Wages Act to protect families and essential workers from predatory debt collec…,5,0,0,0,"['introduce', 'protect', 'wages', 'act', 'protect', 'family', 'essential', 'worker', 'predatory', 'debt', 'collec']"
7,RepAdams,2022-12-05T20:50:44.000Z,"I'm proposing new legislation to protect families and essential workers from predatory debt collection practices.

Read more about the Protecting Wages Act here:

https://t.co/srBRa8bfee",7,2,2,1,"['propose', 'new', 'legislation', 'protect', 'family', 'essential', 'worker', 'predatory', 'debt', 'collection', 'practice', 'read', 'more', 'protecting', 'wages', 'act', 'here']"
8,RepAdams,2022-12-05T18:40:36.000Z,"RT @DU_CCPD: @RepAdams is excited to announce two of her paid Spring 2023 Media Internship Programs!

One internship opportunity will be lo…",5,0,0,0,"['excited', 'announce', 'pay', 'spring', 'media', 'internship', 'programs', 'internship', 'opportunity', 'lo']"
9,RepAdams,2022-12-05T16:22:26.000Z,"@RepRichHudson Thank you for your continued attention to this issue, Rep. Hudson. I'm praying for Moore County.",0,1,1,0,"['thank', 'continue', 'attention', 'issue', 'hudson', 'pray', 'moore', 'county']"
