,handle,created_at,tweet_text,key_word_list
10,Robert_Aderholt,2022-12-06T21:43:15.000Z,"Great meeting @NASA Crew-3 astronauts Raja Chari, Kayla Barron and Thomas Marshburn after their recent trip earlier this year to the @space_station. With every NASA led mission to space, the U.S. continues its leadership in this crucial domain. https://t.co/DrOZdFLR7h","['great', 'meeting', 'astronaut', 'raja', 'chari', 'kayla', 'barron', 'thomas', 'marshburn', 'recent', 'trip', 'early', 'year', 'nasa', 'lead', 'mission', 'space', 'continue', 'leadership', 'crucial', 'domain']"
11,Robert_Aderholt,2022-12-05T18:52:36.000Z,What a view! It’ll be even better when our astronauts get to see it for themselves. #Artemis https://t.co/47tg7HUDZD,"['view', 'even', 'well', 'astronaut', 'get', 'see', 'artemis']"
12,Robert_Aderholt,2022-11-29T23:49:59.000Z,We must stand with the people of China in their protests against the Chinese Communist Party!,"['stand', 'people', 'china', 'protest', 'chinese', 'communist', 'party']"
13,Robert_Aderholt,2022-11-24T18:32:32.000Z,"Rejoice always, pray continually, give thanks in all circumstances; for this is God's will for you in Christ Jesus. 

1 Thessalonians 5:16-18 https://t.co/isdOL3yNsd","['rejoice', 'always', 'pray', 'continually', 'give', 'thank', 'circumstance', 'god', 'will', 'christ', 'jesus', 'thessalonians']"
14,Robert_Aderholt,2022-11-18T19:52:26.000Z,I encourage you to take a look at my latest op-ed in SpaceNews on the future of American space exploration and how NASA’s Space Launch System will pioneer a new era in human space presence. https://t.co/dsUdQbaqXD,"['encourage', 'take', 'look', 'late', 'op', 'ed', 'spacenews', 'future', 'american', 'space', 'exploration', 'nasa', 'space', 'launch', 'system', 'pioneer', 'new', 'era', 'human', 'space', 'presence']"
15,Robert_Aderholt,2022-11-17T00:31:51.000Z,"Come January 3rd, the new Republican majority will be focused on lowering the cost of groceries and gas, securing our border, strengthening our military, and holding the Biden Administration accountable. https://t.co/uqhU3xm46x","['come', 'january', 'new', 'republican', 'majority', 'focus', 'lower', 'cost', 'grocery', 'gas', 'secure', 'border', 'strengthen', 'military', 'hold', 'biden', 'administration', 'accountable']"
16,Robert_Aderholt,2022-11-16T13:25:07.000Z,Congratulations to everyone involved in the successful launch of @NASAArtemis.  I particularly want to thank everyone @NASA_Marshall This historic moment marks the beginning of a new era of human presence and permanence in space. #Artemis https://t.co/trNG8DMLnA,"['congratulation', 'involve', 'successful', 'launch', 'particularly', 'want', 'thank', 'historic', 'moment', 'mark', 'beginning', 'new', 'era', 'human', 'presence', 'permanence', 'space', 'artemis']"
17,Robert_Aderholt,2022-11-15T19:36:18.000Z,"I don't think anyone else believes this. Because the data doesn't back it up.
https://t.co/n1x75RM1vf #FoxNews","['think', 'else', 'believe', 'data', 'back', 'foxnew']"
18,Robert_Aderholt,2022-11-11T20:40:58.000Z,"Happy Veterans Day to all who have served and those still serving in the Army, Navy, Marines, Air Force, Coast Guard and Space Force. https://t.co/tGp1TgABRX","['happy', 'veterans', 'day', 'serve', 'still', 'serve', 'army', 'navy', 'marines', 'air', 'force', 'coast', 'guard', 'space', 'force']"
19,Robert_Aderholt,2022-11-10T16:29:11.000Z,"Join me in wishing a Happy Birthday to the Marine Corps. So many have served so proudly, including Cullman’s very own Roy Drinkard, one of the oldest living marines in the United States. https://t.co/xCTpQy6Hyt","['join', 'wish', 'happy', 'birthday', 'marine', 'corps', 'so', 'many', 'serve', 'so', 'proudly', 'include', 'cullman', 'very', 'own', 'roy', 'drinkard', 'old', 'living', 'marine', 'united', 'states']"
30,RepRickAllen,2022-12-06T21:25:00.000Z,"My staff will be in Metter, Millen, and Swainsboro tomorrow (12/7) to host Community Office Hours.

If you need help with a federal agency, please drop by!

For more information, please visit: https://t.co/jsC6GzDvoh","['staff', 'metter', 'millen', 'swainsboro', 'tomorrow', 'host', 'community', 'office', 'hours', 'need', 'help', 'federal', 'agency', 'drop', 'more', 'information', 'visit']"
31,RepRickAllen,2022-12-05T22:30:00.000Z,"Members of my staff will be in Springfield and Sylvania tomorrow (12/6) to host Community Office Hours.

If you need help with a federal agency, please drop by!

For more information, please visit: https://t.co/jsC6GzDvoh","['member', 'staff', 'springfield', 'sylvania', 'tomorrow', 'host', 'community', 'office', 'hours', 'need', 'help', 'federal', 'agency', 'drop', 'more', 'information', 'visit']"
32,RepRickAllen,2022-12-04T20:00:00.000Z,"My staff will be in Alamo, Mount Vernon, and Soperton tomorrow (12/5) to host Community Office Hours.

If you need help with a federal agency, please drop by!

More info: https://t.co/jsC6GzDvoh","['staff', 'alamo', 'mount', 'vernon', 'soperton', 'tomorrow', 'host', 'community', 'office', 'hours', 'need', 'help', 'federal', 'agency', 'drop', 'more', 'info']"
33,RepRickAllen,2022-12-02T23:04:05.000Z,"RT @RepAndyBarr: ESG is a cancer in our capital markets that diminishes investor returns &amp; depletes investment in energy production, jeopar…","['rt', 'esg', 'cancer', 'capital', 'market', 'diminish', 'investor', 'return', 'amp', 'deplete', 'investment', 'energy', 'production', 'jeopar']"
34,RepRickAllen,2022-12-02T21:45:31.000Z,RT @DailyMail: Republicans go to war with Biden's 401k ESG 'cancer' https://t.co/gTzywPve5a,"['rt', 'republican', 'go', 'war', 'biden', 'esg', 'cancer']"
35,RepRickAllen,2022-12-02T21:42:55.000Z,"Dealing with federal agencies can be difficult. My office is here to help!

If you need assistance with a federal matter, members of our staff will be in these counties next week to offer one-on-one service, no appointment necessary.

⬇️ Full details ⬇️ 
https://t.co/otcijXPhSJ https://t.co/bZub5E9xdl","['deal', 'federal', 'agency', 'difficult', 'office', 'here', 'help', 'need', 'assistance', 'federal', 'matter', 'member', 'staff', 'county', 'week', 'offer', 'service', 'appointment', 'necessary', 'full', 'detail']"
36,RepRickAllen,2022-12-02T21:31:24.000Z,"REMINDER: Applications for our 2023 Spring Internship Program (available both in Washington and the district) are only open for another week.

The deadline to apply is next Friday, 12/9.

Please visit my website for more information:
https://t.co/sFNqjwQV7K https://t.co/Xg3BgslG0a","['reminder', 'application', 'spring', 'internship', 'program', 'available', 'washington', 'district', 'only', 'open', 'week', 'deadline', 'apply', 'next', 'friday', 'visit', 'website', 'more', 'information', 'k']"
