Word,Count
rt,332
biden,236
border,200
amp,197
family,137
more,129
have,105
thank,102
today,91
work,83
support,83
time,82
american,76
make,73
house,71
year,71
energy,68
act,68
bill,67
great,65
join,65
president,64
day,62
crisis,60
southern,57
community,56
nation,55
new,53
congress,51
americans,50
proud,49
mandate,48
administration,48
honor,48
now,46
need,45
service,44
do,42
country,42
business,41
military,41
end,41
america,40
thanksgiving,38
help,38
people,37
high,37
get,36
state,36
continue,36
national,36
vaccine,36
good,35
visit,35
see,34
serve,34
policy,34
here,34
illegal,34
important,34
inflation,34
member,34
home,33
joe,33
legislation,33
security,32
small,32
veteran,31
big,31
life,31
go,31
secure,30
federal,30
last,30
take,30
discuss,29
right,28
free,28
just,28
record,27
pass,27
child,26
win,26
republicans,25
hold,25
covid,25
democrats,25
know,25
law,25
happy,24
christmas,23
speech,23
protect,23
keep,23
government,23
be,23
economy,23
provide,23
fentanyl,22
office,22
student,22
county,22
introduce,21
month,21
say,21
colleague,21
lose,21
freedom,21
use,21
deserve,21
jackie,20
vote,20
week,20
first,20
learn,20
meet,19
call,19
give,19
spending,19
fight,19
woman,19
attack,19
spend,19
power,18
washington,18
congratulation,18
hear,18
cost,18
congressional,18
man,18
stop,17
care,17
so,17
come,17
oil,17
accountable,17
tech,17
next,17
thing,17
force,16
job,16
holiday,16
plan,16
school,16
price,16
deal,16
admin,15
issue,15
access,15
friend,15
watch,15
trump,15
walorski,15
bipartisan,15
china,15
ukraine,15
impact,15
twitter,15
open,14
bless,14
want,14
only,14
election,14
never,14
forward,14
morning,14
enjoy,14
staff,14
tree,13
put,13
lead,13
central,13
look,13
company,13
effort,13
many,13
agency,13
ensure,13
one,13
grateful,13
way,12
gop,12
priority,12
ndaa,12
pay,12
tune,12
letter,12
ccp,12
world,12
irs,12
majority,12
speaker,12
carol,12
increase,12
west,12
campus,12
safe,12
well,12
brave,12
opportunity,12
health,12
back,12
committee,12
project,12
hope,11
patrol,11
agent,11
pray,11
live,11
update,11
production,11
title,11
then,11
republican,11
even,11
program,11
resource,11
strong,11
economic,11
bad,11
sec,11
drug,11
sign,11
always,11
tennessee,11
celebrate,10
speak,10
other,10
risk,10
oversight,10
create,10
ohio,10
love,10
transparency,10
threat,10
remember,10
hero,10
esg,10
funding,10
team,10
happen,10
hunter,10
think,10
leadership,10
ban,10
check,10
still,10
face,10
ever,9
space,9
host,9
news,9
mccarthy,9
sacrifice,9
app,9
address,9
encounter,9
history,9
earmark,9
wish,9
change,9
oak,9
commitment,9
tomorrow,9
god,9
chair,9
read,9
political,9
deliver,9
congressman,9
audit,9
represent,9
united,9
war,9
far,9
fail,9
local,9
restore,9
farm,9
officer,9
statement,9
education,8
dc,8
start,8
usa,8
district,8
include,8
cartel,8
also,8
east,8
chinese,8
store,8
servicemember,8
urge,8
improve,8
safety,8
gas,8
public,8
recognize,8
recovery,8
hard,8
result,8
roundtable,8
rule,8
attend,8
north,8
ridge,8
same,8
most,8
money,8
enforcement,8
veterans,8
tribal,8
event,8
co,7
follow,7
el,7
fund,7
accountability,7
fuel,7
white,7
instead,7
gotaway,7
drive,7
florida,7
hour,7
democrat,7
communist,7
virginia,7
y,7
commit,7
farmer,7
va,7
find,7
medium,7
operation,7
meeting,7
miss,7
states,7
natural,7
night,7
cut,7
party,7
passing,7
place,7
shop,7
share,7
total,7
below,7
together,7
ask,7
reflect,7
refuse,7
second,7
religious,7
tiktok,7
season,7
assistance,7
award,7
thousand,7
miner,7
rural,7
list,7
sure,7
career,7
talk,7
left,7
story,7
let,7
produce,6
full,6
championship,6
send,6
benefit,6
thankful,6
glad,6
allow,6
december,6
set,6
luck,6
police,6
physician,6
long,6
city,6
senate,6
secret,6
real,6
forget,6
really,6
receive,6
recruitment,6
up,6
firearm,6
remain,6
leader,6
deadly,6
de,6
weekend,6
kid,6
ago,6
tax,6
carolina,6
heritage,6
utpol,6
annual,6
coach,6
vax,6
again,6
destroy,6
additional,6
answer,6
moore,6
vital,6
department,6
stand,6
yesterday,6
immigrant,6
early,6
south,6
memorial,6
parent,6
terrorist,6
osu,6
opioid,6
capitol,6
close,6
step,5
stay,5
era,5
teacher,5
evidence,5
taxpayer,5
s,5
saudi,5
document,5
wv,5
senior,5
test,5
defend,5
dems,5
dedication,5
fact,5
special,5
email,5
secretary,5
standard,5
drill,5
debt,5
senator,5
dole,5
social,5
shot,5
kill,5
run,5
icymi,5
hide,5
november,5
historic,5
no,5
newsletter,5
truth,5
hospital,5
mta,5
move,5
huge,5
human,5
u,5
retention,5
industry,5
information,5
investment,5
marine,5
uniform,5
involve,5
iowa,5
legislative,5
us,5
late,5
key,5
number,5
oklahoma,5
outage,5
owner,5
responsible,5
fbi,5
fema,5
research,5
relief,5
food,5
rate,5
r,5
question,5
push,5
protection,5
gaetz,5
tonight,5
prayer,5
too,5
gold,5
post,5
town,5
grant,5
pleased,5
peter,5
pennsylvania,5
part,5
future,5
a,5
customer,5
cancer,5
college,5
bomber,5
complete,5
crossing,5
become,5
conference,5
bama,5
away,5
aviation,5
atf,5
as,5
control,5
arabia,5
corporate,5
agenda,5
court,5
all,5
climate,5
air,5
chip,5
challenge,5
charge,5
current,5
cbp,5
review,4
linkedin,4
arizona,4
army,4
facility,4
astronaut,4
kentucky,4
constitution,4
constituent,4
rise,4
censor,4
meal,4
leverage,4
consider,4
conservative,4
few,4
finish,4
repeal,4
flag,4
remove,4
reminder,4
louisiana,4
release,4
region,4
retirement,4
solution,4
formula,4
southwest,4
drop,4
