handle,Word,Count
RepAdams,today,516
RepAdams,act,329
RepAdams,black,311
RepAdams,hbcu,302
RepAdams,join,261
RepAdams,thank,244
RepAdams,day,233
RepAdams,health,232
RepAdams,woman,210
RepAdams,year,209
RepAdams,work,205
RepAdams,make,200
RepAdams,maternal,191
RepAdams,family,185
RepAdams,more,174
RepAdams,vote,161
RepAdams,pass,161
RepAdams,support,160
RepAdams,right,158
RepAdams,buildbackbetter,157
RepAdams,proud,152
RepAdams,charlotte,150
RepAdams,people,148
RepAdams,time,147
RepAdams,here,141
RepAdams,life,138
RepAdams,student,136
RepAdams,american,135
RepAdams,house,133
RepAdams,get,130
RepAdams,president,128
RepAdams,need,123
RepAdams,community,122
RepAdams,bill,119
RepAdams,week,115
RepAdams,congress,113
RepAdams,honor,111
RepAdams,first,110
RepAdams,biden,109
RepAdams,help,108
RepAdams,crisis,106
RepAdams,north,105
RepAdams,now,104
RepAdams,include,100
RepAdams,momnibus,99
RepAdams,go,97
RepAdams,child,97
RepAdams,take,96
RepAdams,carolina,96
RepAdams,job,96
